lon,lat,cnt
121.486641,25.058441,938.7773106
121.548337,25.022629,669.2424609
121.549137,25.028309,436.3493206
121.548319,25.022637,779.9555725
121.549388,25.026443,333.8568464
121.537153,25.012937,604.9714176
121.549137,25.028293,661.2112449
121.549146,25.028301,906.6669046
121.486641,25.058433,925.5367993
121.548328,25.022629,264.9901821
121.481413,25.019854,496.3911093
121.206582,24.833645,471.2741831
121.489803,25.079223,257.3147206
121.28355,24.900397,488.5218432
121.552245,25.017857,49.51459418
121.486641,25.058449,986.7622872
121.538007,25.010113,504.76832
121.556674,25.041216,749.1945742
121.539552,25.012405,650.9837389
121.548319,25.022645,787.6105787
121.489794,25.079223,980.8431147
121.54778,25.037426,98.19442971
121.28355,24.902528,358.0390097
121.546496,25.03777,774.7060837
121.551616,25.041756,714.5662246
121.548328,25.022645,941.3588786
121.544034,25.038147,64.2303155
121.548813,25.040479,234.6659063
121.551203,25.042517,380.9910632
121.549128,25.028293,940.5186949
121.551526,25.042271,107.5018103
121.549128,25.028309,916.2655714
121.537153,25.012913,72.79150753
121.549146,25.028309,558.5752753
121.551176,25.042517,155.6552824
121.551212,25.042517,311.9160973
121.551185,25.042517,592.4552038
121.199764,24.819692,843.7570106
121.538555,25.026779,62.72609017
121.553179,25.033064,216.2811177
121.206492,24.833686,739.846719
121.548319,25.022629,730.6734843
121.428107,25.015188,643.3966342
121.552568,25.041666,121.6321779
121.551194,25.042517,85.91687526
121.202297,24.861776,825.0407838
121.546325,25.040111,912.4498194
121.548337,25.022637,581.498236
121.55317,25.033874,57.73336147
121.547672,25.037557,575.3360157
121.542866,25.026713,125.5893416
121.556063,25.041224,100.1041677
121.200617,24.822118,838.3801123
121.55414,25.033334,176.1439182
121.551975,25.041936,67.94914916
121.212718,24.841834,238.4441132
121.551499,25.041134,471.2802257
121.551625,25.041772,45.14195888
121.551912,25.041224,562.4829469
121.496073,25.085253,827.6016925
121.553745,25.041224,494.0701761
121.546585,25.03651,415.6537538
121.552577,25.041633,590.4492883
121.55114,25.042353,90.32521951
121.183424,24.821143,660.2563635
121.551131,25.042353,529.9498606
121.551077,25.042337,652.9922094
121.495265,25.059988,181.9869563
121.530703,25.018929,181.7809961
